// Output Data File:
//
// FILENAME 3BusTestCase.out
//
// CASE FILENAME :
3BusTestCase.dat

//  iNodeNumber	  iBranchNumber	     iGenNumber	     iLSENumber
              3	              3	              3	              2
//        RandomSeed	 iMaxDay	    dThresholdProbability	   dGenPriceCap	   dLSEPriceCap	 bMaximumDay	  bThreshold
           695672061	       2	                 0.999000	    1000.000000	       0.000000	           1	           1
//  bActionProb	      iStartDay	     iDayLength	    dActionProb	     bLearnProb	 iLearnStartDay	iLearnDayLength	     dLearnProb	    bNetEarning	    iNEStartDay	   iNEDayLength	   dNEThreshold
              0	              1	              5	       0.001000	              0	              1	              5	       0.001000	              0	              1	              5	      10.000000
#LMPWithTrueCostDataStart
// Hour	          Bus 1	          Bus 2	          Bus 3
#LMPWithTrueCostDataEnd

#GeneratorCommitmentWithTrueCostDataStart
// Hour	         GenCo1	         GenCo2	         GenCo3
#GeneratorCommitmentWithTrueCostDataEnd

#GeneratorProfitWithTrueCostDataStart
// Hour	   GenID	         Profit	   Net Earnings	        Revenue
NONE
#GeneratorProfitWithTrueCostDataEnd

#GeneratorSupplyOfferDataStart
//  Day	GenCo Name	     aR ($/MWh)	    bR ($/MW2h)	     CapRL (MW)	     CapRU (MW)
   20	    6	    1000.000000	       0.000000	       0.000000
   20	    7	    1000.000000	       0.000000	       0.000000
   20	    8	    1000.000000	       0.000000	       0.000000
   20	    9	    1000.000000	       0.000000	       0.000000
   20	   10	    1000.000000	       0.000000	       0.000000
   20	   11	    1000.000000	       0.000000	       0.000000
   20	   12	    1000.000000	       0.000000	       0.000000
   20	   13	    1000.000000	       0.000000	       0.000000
   20	   14	    1000.000000	       0.000000	       0.000000
   21	    0	    1000.000000	       0.000000	       0.000000
   21	    1	    1000.000000	       0.000000	       0.000000
   21	    2	    1000.000000	       0.000000	       0.000000
   21	    3	    1000.000000	       0.000000	       0.000000
   21	    4	    1000.000000	       0.000000	       0.000000
   21	    5	    1000.000000	       0.000000	       0.000000
   21	    6	    1000.000000	       0.000000	       0.000000
   21	    7	    1000.000000	       0.000000	       0.000000
   21	    8	    1000.000000	       0.000000	       0.000000
   21	    9	    1000.000000	       0.000000	       0.000000
   21	   10	    1000.000000	       0.000000	       0.000000
   21	   11	    1000.000000	       0.000000	       0.000000
   21	   12	    1000.000000	       0.000000	       0.000000
   21	   13	    1000.000000	       0.000000	       0.000000
   21	   14	    1000.000000	       0.000000	       0.000000
   22	    0	    1000.000000	       0.000000	       0.000000
   22	    1	    1000.000000	       0.000000	       0.000000
   22	    2	    1000.000000	       0.000000	       0.000000
   22	    3	    1000.000000	       0.000000	       0.000000
   22	    4	    1000.000000	       0.000000	       0.000000
   22	    5	    1000.000000	       0.000000	       0.000000
   22	    6	    1000.000000	       0.000000	       0.000000
   22	    7	    1000.000000	       0.000000	       0.000000
   22	    8	    1000.000000	       0.000000	       0.000000
   22	    9	    1000.000000	       0.000000	       0.000000
   22	   10	    1000.000000	       0.000000	       0.000000
   22	   11	    1000.000000	       0.000000	       0.000000
   22	   12	    1000.000000	       0.000000	       0.000000
   22	   13	    1000.000000	       0.000000	       0.000000
   22	   14	    1000.000000	       0.000000	       0.000000
   23	    0	    1000.000000	       0.000000	     200.000000
   23	    1	    1000.000000	       0.000000	     200.000000
   23	    2	    1000.000000	       0.000000	     200.000000
   23	    3	    1000.000000	       0.000000	     200.000000
   23	    4	    1000.000000	       0.000000	     200.000000
   23	    5	    1000.000000	       0.000000	     200.000000
   23	    6	    1000.000000	       0.000000	     200.000000
   23	    7	    1000.000000	       0.000000	     200.000000
   23	    8	    1000.000000	       0.000000	     200.000000
   23	    9	    1000.000000	       0.000000	     200.000000
   23	   10	    1000.000000	       0.000000	     200.000000
   23	   11	    1000.000000	       0.000000	     200.000000
   23	   12	    1000.000000	       0.000000	     200.000000
   23	   13	    1000.000000	       0.000000	     200.000000
   23	   14	    1000.000000	       0.000000	     200.000000
   24	    0	    1000.000000	       0.000000	     200.000000
   24	    1	    1000.000000	       0.000000	     200.000000
   24	    2	    1000.000000	       0.000000	     200.000000
   24	    3	    1000.000000	       0.000000	     200.000000
   24	    4	    1000.000000	       0.000000	     200.000000
   24	    5	    1000.000000	       0.000000	     200.000000
   24	    6	    1000.000000	       0.000000	     200.000000
   24	    7	    1000.000000	       0.000000	     200.000000
   24	    8	    1000.000000	       0.000000	     200.000000
   24	    9	    1000.000000	       0.000000	     200.000000
   24	   10	    1000.000000	       0.000000	     200.000000
   24	   11	    1000.000000	       0.000000	     200.000000
   24	   12	    1000.000000	       0.000000	     200.000000
   24	   13	    1000.000000	       0.000000	     200.000000
   24	   14	    1000.000000	       0.000000	     200.000000
   25	    0	    1000.000000	       0.000000	     200.000000
   25	    1	    1000.000000	       0.000000	     200.000000
   25	    2	    1000.000000	       0.000000	     200.000000
   25	    3	    1000.000000	       0.000000	     200.000000
   25	    4	    1000.000000	       0.000000	     200.000000
   25	    5	    1000.000000	       0.000000	     200.000000
   25	    6	    1000.000000	       0.000000	     200.000000
   25	    7	    1000.000000	       0.000000	     200.000000
   25	    8	    1000.000000	       0.000000	     200.000000
